Sulfide type,Au (ppm),As (ppm)
Py1,0.65,841.76
Py1,0.75,654.13
Py1,1.54,375.66
Py1,2.5,336.24
Py1,3.91,2136.3
Py1,4.16,13985.02
Py1,6.96,2419.62
Py1,5.02,3043.6
Py1,12.14,1584.72
Py2,0.17,4292.9
Py2,0.32,159.04
Py2,1.03,5274.43
Py2,2.24,7534.1
Py2,0.05,703.63
Py2,0.1,1933.55
Py2,2.41,1491.4
Py2,0.61,3357.66
Py3,0.05,63.9
Py3,0.17,4672.51
Py3,0.05,2491.44
Py3,0.05,3397.21
Py3,0.11,5014.29
Py3,0.45,4165.34
Py3,0.05,73.44
Py3,0.21,3908.35
Py3,47.37,17743.46
Py4,0.15,2354.86
Py4,0.17,1363.61
Py4,0.28,3649
Py4,0.39,2262.91
Py4,0.05,2756.27
Py5,0.01,2941.72
Py5,0.05,5083.88
Py5,0.05,1849.08
Py5,0.05,4315.65
Py6,0.11,7
Py6,0.04,3
Po,0,0.3
Po,0,0.2
Po,0.01,0.5
Po,0.01,0.6
